"driver_id";"name";"phone";"status";"service_type"
1;"Raj";"9988776655";"available";"regular"
2;"Amit";"8899776655";"reserved";"premium"
3;"Neha Bansal";"9810987654";"available";"premium"
4;"Rajesh Patel";"9876543210";"available";"regular"
5;"Sandeep Verma";"9123456789";"unavailable";"premium"
6;"Manisha Desai	";"9812345678";"reserved";"regular"
7;"Arun Mehta	";"9871234560";"available";"premium"
8;"Kavita Singh	";"9109876543";"unavailable";"regular"
9;"Rohit Sharma	";"9123459876";"available";"premium"
10;"Sneha Tiwari	";"9870987654";"reserved";"regular"
11;"Ajay Kumar	";"9812340987";"available";"premium"
12;"Priya Chawla	";"9120987654";"unavailable";"regular"
13;"Vipul Shah	";"9876123450";"available";"premium"
14;"Nitin Joshi	";"9109876123";"reserved";"regular"
15;"Arjun Rao	";"9812345670";"unavailable";"premium"
16;"Dhruv Pandey	";"9875432109";"reserved";"regular"
17;"Ramesh Sinha	";"9123456781";"available";"premium"
18;"Aarti Kulkarni	";"9876541203";"unavailable";"regular"
19;"Sachin Yadav	";"9812345675";"available";"premium"
20;"Komal Jain	";"9109872345";"reserved";"regular"
21;"Harish Gupta	";"9123459870";"unavailable";"premium"
